Site,Label,Province,LatPrecision,LonPrecision,AdjustedLat,AdjustedLon,PleiadesLat,PleiadesLon
urn:cite:rage:ptolgeo.pt-ll-1644,Phintia (Î¦Î¹Î½Ï„á½·Î±),sicilia,1/2,2/3,36.35714285715,13.6907142829227182686328887939453125,13.937448,37.102285999999999
urn:cite:rage:ptolgeo.pt-ll-1645,Gela (Î“á½³Î»Î±),sicilia,1/2,0,36.35714285715,13.92857142885,14.258722000000001,37.063029
urn:cite:rage:ptolgeo.pt-ll-1646,Kamarina (ÎšÎ±Î¼Î±Ïá½·Î½Î±),sicilia,5/12,2/3,36.297142863279563462734222412109375,14.4049999972227182686328887939453125,14.447404300000001,36.872118299999997
urn:cite:rage:ptolgeo.pt-ll-1647,ElÅros (á¼œÎ»Ï‰ÏÎ¿Ï‚),sicilia,1/2,2/3,36.35714285715,14.4049999972227182686328887939453125,15.033444599999999,36.8390141
urn:cite:rage:ptolgeo.pt-ll-1648,Ina (á¼¼Î½Î±),sicilia,5/12,1/2,36.297142863279563462734222412109375,14.28571428600,12.865856000000001,38.004475999999997
urn:cite:rage:ptolgeo.pt-ll-1649,Helkethion (á¼™Î»Îºá½³Î¸Î¹Î¿Î½),sicilia,1/4,1/4,36.178571428575,12.678571428825,,
urn:cite:rage:ptolgeo.pt-ll-4005,Porsika (Î Î¿ÏÏƒá½·ÎºÎ±),mesopotamia,1/2,0,37.07142857145,37.50000000075,,
urn:cite:rage:ptolgeo.pt-ll-4006,Aniana (á¼ˆÎ½Î¹á½±Î½Î±),mesopotamia,2/3,1/3,36.4764285683727182686328887939453125,37.7378571466772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-4007,BarsampsÄ“ (Î’Î±ÏÏƒá½±Î¼ÏˆÎ·),mesopotamia,1/4,1/3,36.178571428575,37.7378571466772817313671112060546875,39.196717999999997,38.088118000000001
urn:cite:rage:ptolgeo.pt-ll-4008,Sarnouka (Î£á½±ÏÎ½Î¿Ï…ÎºÎ±),mesopotamia,0,1/6,36.0000000000,37.6192857119727182686328887939453125,,
urn:cite:rage:ptolgeo.pt-ll-4009,Bersima (Î’á½³ÏÏƒÎ¹Î¼Î±),mesopotamia,5/6,1/3,35.8807142887772817313671112060546875,37.7378571466772817313671112060546875,38.1192262,36.674751649999997
urn:cite:rage:ptolgeo.pt-ll-4010,Maubai (ÎœÎ±á¿¦Î²Î±Î¹),mesopotamia,2/3,5/6,35.7621428540727182686328887939453125,38.0950000038272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-4011,Magouda (Îœá½±Î³Î¿Ï…Î´Î±),mesopotamia,1/6,1/4,35.4049999969227182686328887939453125,38.392857143625,,
urn:cite:rage:ptolgeo.pt-ll-4012,KhabÅra (Î§Î±Î²á½½ÏÎ±),mesopotamia,1/6,0,35.4049999969227182686328887939453125,38.92857142935,38.25,37.25
urn:cite:rage:ptolgeo.pt-ll-4013,Thelda (Î˜á½³Î»Î´Î±),mesopotamia,3/4,1/4,35.107142857125,39.107142857925,,
urn:cite:rage:ptolgeo.pt-ll-4014,Aphphadana (á¼ˆÏ†Ï†Î±Î´á½±Î½Î±),mesopotamia,7/12,1/2,34.9878571459022817313671112060546875,39.28571428650,,
urn:cite:rage:ptolgeo.pt-ll-4015,BanabÄ“ (Î’Î±Î½á½±Î²Î·),mesopotamia,5/12,3/4,34.868571434679563462734222412109375,39.464285715075,40.838399000000003,37.315199
urn:cite:rage:ptolgeo.pt-ll-4016,Bethauna (Î’á½³Î¸Î±Ï…Î½Î±),mesopotamia,1/4,0,34.749999999975,40.35714285795,,
urn:cite:rage:ptolgeo.pt-ll-4017,Rheskipha (á¿¬ÎµÏƒÎºá½·Ï†Î±),mesopotamia,0,0,34.5714285714,40.35714285795,41.413055,37.714165999999999
urn:cite:rage:ptolgeo.pt-ll-4018,Eudrapa (Î•á½”Î´ÏÎ±Ï€Î±),mesopotamia,2/3,1/6,34.3335714254727182686328887939453125,41.1907142834727182686328887939453125,,
urn:cite:rage:ptolgeo.pt-ll-4019,Addaia (á¼ˆÎ´Î´Î±á½·Î±),mesopotamia,0,1/4,34.5714285714,41.250000000825,,
urn:cite:rage:ptolgeo.pt-ll-4020,Pakoria (Î Î±ÎºÎ¿Ïá½·Î±),mesopotamia,3/4,1/3,35.107142857125,41.3092857181772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-4021,TÄ“ridata (Î¤Î·ÏÎ¹Î´á½±Ï„Î±),mesopotamia,1/3,1/2,35.5235714316272817313671112060546875,41.42857142940,,
urn:cite:rage:ptolgeo.pt-ll-4022,Naarda (ÎÎ±á½±ÏÎ´Î±),mesopotamia,1/2,2/3,35.64285714285,41.5478571406227182686328887939453125,44.080181000000003,33.098891999999999
